kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
cimma.1.sm_75.ptx 321 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 64 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 61 : 256 0 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 318 : 256 0 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 322 : 256 640 0 0 0 0 0 0 8 
cimma.1.sm_75.ptx 65 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 232 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 233 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 234 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 235 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 238 : 256 54656 0 0 0 128 8 0 0 
cimma.1.sm_75.ptx 239 : 256 1792 0 32 8 0 0 0 0 
cimma.1.sm_75.ptx 240 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 241 : 256 640 0 0 0 0 0 0 8 
cimma.1.sm_75.ptx 243 : 128 27200 0 0 0 64 8 0 0 
cimma.1.sm_75.ptx 244 : 128 640 0 16 8 0 0 0 0 
cimma.1.sm_75.ptx 247 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 248 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 249 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 252 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 253 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 257 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 258 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 262 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 263 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 266 : 256 17408 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 268 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 269 : 256 54528 0 0 0 128 8 0 0 
cimma.1.sm_75.ptx 270 : 256 1792 0 32 8 0 0 0 0 
cimma.1.sm_75.ptx 271 : 256 640 0 0 0 0 0 0 8 
cimma.1.sm_75.ptx 272 : 128 640 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 275 : 128 27136 0 0 0 64 8 0 0 
cimma.1.sm_75.ptx 276 : 128 640 0 16 8 0 0 0 0 
cimma.1.sm_75.ptx 279 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 281 : 256 17408 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 283 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 284 : 256 54528 0 0 0 128 8 0 0 
cimma.1.sm_75.ptx 285 : 256 1792 0 32 8 0 0 0 0 
cimma.1.sm_75.ptx 286 : 256 640 0 0 0 0 0 0 8 
cimma.1.sm_75.ptx 287 : 128 640 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 290 : 128 27136 0 0 0 64 8 0 0 
cimma.1.sm_75.ptx 54 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 311 : 256 17408 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 59 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 316 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 81 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 338 : 256 1280 0 0 0 0 0 0 0 
